Month,deprem: (Turkey)
2007-01,30
2007-02,39
2007-03,42
2007-04,35
2007-05,20
2007-06,16
2007-07,10
2007-08,18
2007-09,14
2007-10,16
2007-11,22
2007-12,38
2008-01,24
2008-02,17
2008-03,34
2008-04,21
2008-05,23
2008-06,13
2008-07,18
2008-08,10
2008-09,15
2008-10,12
2008-11,18
2008-12,16
2009-01,20
2009-02,19
2009-03,25
2009-04,22
2009-05,13
2009-06,12
2009-07,10
2009-08,10
2009-09,25
2009-10,11
2009-11,10
2009-12,13
2010-01,12
2010-02,16
2010-03,37
2010-04,18
2010-05,14
2010-06,8
2010-07,6
2010-08,10
2010-09,6
2010-10,21
2010-11,21
2010-12,11
2011-01,13
2011-02,12
2011-03,40
2011-04,16
2011-05,52
2011-06,16
2011-07,23
2011-08,10
2011-09,8
2011-10,66
2011-11,40
2011-12,31
2012-01,16
2012-02,16
2012-03,20
2012-04,21
2012-05,24
2012-06,39
2012-07,16
2012-08,15
2012-09,13
2012-10,19
2012-11,13
2012-12,13
2013-01,27
2013-02,9
2013-03,16
2013-04,13
2013-05,12
2013-06,7
2013-07,10
2013-08,10
2013-09,9
2013-10,10
2013-11,19
2013-12,21
2014-01,9
2014-02,12
2014-03,12
2014-04,11
2014-05,54
2014-06,12
2014-07,16
2014-08,19
2014-09,13
2014-10,16
2014-11,15
2014-12,22
2015-01,16
2015-02,12
2015-03,17
2015-04,14
2015-05,13
2015-06,10
2015-07,28
2015-08,17
2015-09,14
2015-10,20
2015-11,23
2015-12,18
2016-01,23
2016-02,10
2016-03,12
2016-04,14
2016-05,12
2016-06,33
2016-07,17
2016-08,15
2016-09,24
2016-10,28
2016-11,14
2016-12,15
2017-01,13
2017-02,49
2017-03,34
2017-04,33
2017-05,31
2017-06,100
2017-07,78

